C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,AT (K),Ms (K)
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1723,723.05
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1713,730.48
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1703,734.41
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1693,734.44
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1683,734.47
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1673,734.5
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1663,734.52
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1653,734.54
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1643,734.56
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1633,734.58
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1623,734.6
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1613,734.62
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1603,734.63
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1593,734.64
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1583,734.65
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1573,734.66
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1563,734.67
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1553,734.68
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1543,734.69
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1533,734.7
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1523,734.7
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1513,734.71
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1503,734.72
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1493,734.72
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1483,734.72
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1473,734.73
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1463,734.73
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1453,734.73
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1443,734.74
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1433,734.74
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1423,734.74
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1413,734.74
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1403,734.74
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1393,734.75
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1383,734.75
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1373,734.78
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1363,734.94
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1353,735.09
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1343,735.22
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1333,735.35
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1323,735.51
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1313,735.68
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1303,735.85
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1293,736
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1283,736.14
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1273,736.26
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1263,736.37
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1253,736.48
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1243,736.57
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1233,736.65
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1223,736.73
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1213,736.8
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1203,736.86
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1193,736.92
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1183,736.97
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1173,737.02
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1163,737.07
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1153,737.11
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1143,737.15
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1133,737.2
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1123,732.84
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1113,724.16
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1103,713.7
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1093,701.82
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1083,688.7
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1073,674.41
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1063,658.96
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1053,642.31
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1043,624.35
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1033,604.95
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1023,583.96
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1013,561.04
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1003,535.73
