C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,TAUST (K),Ms (K)
0.05,0.5,1.68,0.95,0,0.01,0,0.05,0,0.007,0.019,0,0.0134,0,0.01,0.01,1623,774
0.04,0.41,1.2,1.1,0.01,0.07,0,0.05,0,0,0,0,0.012,0,0.01,0.01,1623,745
0.04,0.49,1.67,2.48,0,0.01,0,0.06,0,0.005,0.018,0,0,0,0.01,0.01,1623,749
0.05,0.38,1.18,2.52,0.01,0.08,0,0.06,0,0,0,0,0.0178,0,0.01,0.01,1673,727
0.04,0.5,0.85,2.56,0,0.01,0,0.06,0,0.005,0.021,0,0.01,0,0.01,0.01,1623,755
0.06,0.53,0.67,3.32,0,0.01,0,0.06,0,0.006,0.024,0,0,0,0.01,0.01,1623,744
0.04,0.38,1.29,3.58,0.01,0.08,0,0.08,0,0,0,0,0.0141,0,0.01,0.01,1673,726
0.05,0.66,0.78,5.53,0,0.01,0,0.07,0,0.007,0.025,0,0,0,0.01,0.01,1623,719
0.08,0.53,0.96,0.9,0,0.02,0,0.17,0,0.01,0.002,0,0.0115,0,0.01,0.01,1623,749
0.076,0.39,1.26,2.25,0,0.01,0,0.1,0,0.005,0.002,0,0,0,0.01,0.01,1623,730
0.09,0.21,1.05,3.32,0,0.02,0,0.2,0,0.011,0.001,0,0.0174,0,0.01,0.01,1543,714
0.06,0.28,1.4,0.14,0.35,0.04,0,0.07,0,0.014,0.026,0.004,0.009,0,0.01,0.01,1623,760
0.06,0.23,1.55,2,0.05,0.01,0,0.06,0,0.028,0.013,0.01,0.004,0,0.01,0.01,1623,717
0.06,0.37,1.5,0.96,0,0.23,0,0.06,0,0.003,0.018,0,0.0054,0,0.01,0.01,1623,739
0.05,0.19,1.72,1.87,0.06,0.31,0,0.03,0,0,0,0,0,0,0.01,0.01,1673,685
0.05,0.31,1.75,2.73,0,0.2,0,0.06,0,0.004,0.02,0,0.0069,0,0.01,0.01,1623,723
0.094,0.31,1.32,0.05,0.04,0.01,0,0.11,0,0,0,0.01,0.0097,0,0.01,0.01,1673,735
0.1,0.31,1.37,0.08,0.06,0.02,0,0.15,0,0,0,0.03,0.0099,0,0.01,0.01,1673,736
0.094,0.18,1.05,0.1,0.05,0.01,0,0.11,0,0,0,0.01,0.01,0,0.01,0.01,1673,745
0.08,0.16,0.97,0.15,0.07,0.02,0,0.19,0,0,0,0.02,0.0095,0,0.01,0.01,1673,738
0.11,0.09,0.74,0,0,0,0,0.12,0,0,0,0,0.005,0,0.01,0.01,1623,709
0.11,0.22,0.96,0,0,0.07,0,0.08,0,0,0.029,0,0.0057,0,0.01,0.01,1623,728
0.09,0.27,1.1,0,0,0.07,0,0.09,0,0,0.038,0,0.0059,0,0.01,0.01,1623,724
0.089,0.39,1.43,0,0,0,0,0,0,0.006,0.028,0,0.0031,0,0.01,0.01,1623,738
0.06,0.29,1.95,0,0,0.01,0.25,0,0,0.037,0,0,0.008,0,0.01,0.01,1373,784
0.07,0.3,1.94,0,0,0.01,0.14,0,0,0.038,0,0,0.007,0,0.01,0.01,1373,781
0.11,0.31,1.23,0,0,0,0.08,0,0,0,0,0,0.005,0,0.01,0.01,1173,735
0.11,0.31,1.23,0,0,0,0.08,0,0,0,0,0,0.005,0,0.01,0.01,1373,725
0.14,0.48,1.52,0,0,0,0.071,0,0,0,0,0,0,0,0.01,0.01,1193,665
0.14,0.36,1.53,0.03,0.06,0.01,0.04,0.02,0,0.057,0,0,0,0,0.01,0.01,1203,707
0.15,0.27,1.3,0.15,0.15,0.04,0.13,0.19,0,0.02,0,0,0.01,0,0.01,0.01,1173,653
0.16,0.035,1.3,0,0,0,0.066,0,0,0.013,0,0,0,0,0.01,0.01,1523,738
0.16,0.035,1.3,0,0,0,0.13,0,0,0.013,0,0,0,0,0.01,0.01,1523,734
0.16,0.44,1.42,0,0,0,0.025,0,0,0.042,0.003,0.002,0,0,0.01,0.01,1623,712
