Fe,Co,Ni,Al,Si,Cr,Nb,Mo,Ti,Cu,Mn,Zr,V,C,T,"phase (SS=0, SS+IM=1)"
18.2,18.2,18.2,0,0,18.2,0,0,9,18.2,0,0,0,0,25,1
17.2,17.2,17.2,0,0,17.2,0,0,14,17.2,0,0,0,0,25,1
16.7,16.7,16.7,0,0,16.7,0,0,16.7,16.7,0,0,0,0,25,1
18.18,18.18,18.18,9.09,0,18.18,0,0,0,18.18,0,0,0,0,25,0
17.5,17.5,17.5,8.7,0,17.5,0,0,3.5,17.5,0,0,0,0,25,0
16.9,16.9,16.9,8.4,0,16.9,0,0,6.7,16.9,0,0,0,0,25,0
16.3,16.3,16.3,8.1,0,16.3,0,0,9.8,16.3,0,0,0,0,25,0
15.8,15.8,15.8,7.9,0,15.8,0,0,12.6,15.8,0,0,0,0,25,0
15.3,15.3,15.3,7.6,0,15.3,0,0,15.3,15.3,0,0,0,0,25,1
14.9,14.9,14.9,7.4,0,14.9,0,0,17.9,14.9,0,0,0,0,25,1
14.4,14.4,14.4,7.2,0,14.4,0,0,20.2,14.4,0,0,0,0,25,1
14.1,14.1,14.1,7,0,14.1,0,0,22.5,14.1,0,0,0,0,25,1
13.7,13.7,13.7,6.8,0,13.7,0,0,24.6,13.7,0,0,0,0,25,1
13.3,13.3,13.3,6.6,0,13.3,0,0,26.6,13.3,0,0,0,0,25,1
18.18,18.18,18.18,9.09,0,18.18,0,0,0,18.18,0,0,0,0,25,0
17.5,17.5,17.5,8.7,0,17.5,0,0,0,17.5,0,0,3.5,0,25,0
17.5,17.5,17.5,8.4,0,17.5,0,0,0,17.5,0,0,6.7,0,25,0
16.3,16.3,16.3,8.1,0,16.3,0,0,0,16.3,0,0,9.8,0,25,1
15.8,15.8,15.8,7.9,0,15.8,0,0,0,15.8,0,0,12.6,0,25,1
15.3,15.3,15.3,7.6,0,15.3,0,0,0,15.3,0,0,15.3,0,25,1
14.9,14.9,14.9,7.4,0,14.9,0,0,0,14.9,0,0,17.9,0,25,0
14.4,14.4,14.4,7.2,0,14.4,0,0,0,14.4,0,0,20.2,0,25,0
14.1,14.1,14.1,7,0,14.1,0,0,0,14.1,0,0,22.5,0,25,0
13.7,13.7,13.7,6.8,0,13.7,0,0,0,13.7,0,0,24.6,0,25,0
13.3,13.3,13.3,6.6,0,13.3,0,0,0,13.3,0,0,26.6,0,25,0
16.6,16.6,16.6,16.6,0,16.6,0,0,0,16.6,0,0,0,0,25,0
14.3,14.3,14.3,14.3,0,14.3,0,0,0,14.3,14.3,0,0,0,25,1
14.3,14.3,14.3,14.3,0,14.3,0,0,14.3,14.3,0,0,0,0,25,0
14.3,14.3,14.3,14.3,0,14.3,0,0,0,14.3,0,0,14.3,0,25,0
25,25,25,0,0,0,0,0,0,25,0,0,0,0,25,0
21.7,0,13.2,21.7,0,21.7,0,0,0,21.7,0,0,0,0,25,0
20.8,0,16.8,20.8,0,20.8,0,0,0,20.8,0,0,0,0,25,0
20,0,20,20,0,20,0,0,0,20,0,0,0,0,25,0
19.2,0,23.2,19.2,0,19.2,0,0,0,19.2,0,0,0,0,25,0
18.5,0,26,18.5,0,18.5,0,0,0,18.5,0,0,0,0,25,0
19.2,0,38.4,4,0,19.2,0,0,0,19.2,0,0,0,0,25,0
18.5,0,37,7.5,0,18.5,0,0,0,18.5,0,0,0,0,25,0
17.9,0,35.8,10.5,0,17.9,0,0,0,17.9,0,0,0,0,25,0
16.7,0,33.2,16.7,0,16.7,0,0,0,16.7,0,0,0,0,25,0
16.1,0,32.2,19.5,0,16.1,0,0,0,16.1,0,0,0,0,25,0
16.6,0,16.6,16.6,0,16.6,0,0,16.6,16.6,0,0,0,0,25,1
0,0,25,25,0,0,0,0,25,25,0,0,0,0,25,0
15,0,20,22.5,0,0,0,0,22.5,20,0,0,0,0,25,0
20,0,20,20,0,0,0,0,20,20,0,0,0,0,25,0
0,0,0,27.6,0,0,24.1,0,24.8,0,0,0,23.5,0,25,0
0,0,0,25.6,0,10.2,22.2,0,21.4,0,0,0,20.6,0,25,0
0,0,0,22.9,0,18.8,20.2,0,19.3,0,0,0,18.8,0,25,0
0,0,0,21.7,0,25,18.7,0,17.8,0,0,0,16.8,0,25,0
0,0,0,27.6,0,0,24.1,0,24.8,0,0,0,23.5,0,800,0
0,0,0,25.6,0,10.2,22.2,0,21.4,0,0,0,20.6,0,800,0
0,0,0,22.9,0,18.8,20.2,0,19.3,0,0,0,18.8,0,800,0
